Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,IDComunidadAutonoma
España,11.9,"+ 0,9 %","+ 3,7 %","+ 9,3 %","11,9 €/m2 jul 2023","0,0 %",0
Andalucía,10.2,"+ 0,5 %","+ 3,3 %","+ 13,0 %","10,2 €/m2 jul 2023","0,0 %",1
Almería provincia,7.6,"+ 3,4 %","+ 7,8 %","+ 7,9 %","7,6 €/m2 jul 2023","0,0 %",1
Almería,8.3,"+ 3,8 %","+ 8,3 %","+ 10,6 %","8,3 €/m2 jul 2023","0,0 %",1
Cádiz provincia,9.3,"+ 1,5 %","+ 5,0 %","+ 6,3 %","11,2 €/m2 jun 2006","- 16,4 %",1
Cádiz,10.8,"+ 0,4 %","- 0,7 %","+ 7,5 %","10,8 €/m2 abr 2023","- 0,7 %",1
Córdoba provincia,7.5,"+ 0,7 %","+ 8,0 %","+ 5,4 %","7,5 €/m2 jul 2023","0,0 %",1
Córdoba,8.0,"0,0 %","+ 10,4 %","+ 5,8 %","8,0 €/m2 jun 2023","0,0 %",1
Granada provincia,8.7,"+ 2,0 %","+ 2,5 %","+ 10,1 %","9,8 €/m2 abr 2008","- 11,4 %",1
Granada,9.1,"+ 1,5 %","+ 0,9 %","+ 12,0 %","9,1 €/m2 jul 2023","0,0 %",1
Huelva provincia,9.7,"- 2,1 %","+ 14,8 %","+ 6,7 %","11,9 €/m2 jul 2006","- 18,4 %",1
Huelva,8.1,"- 0,1 %","+ 5,8 %","+ 8,1 %","8,1 €/m2 jun 2023","- 0,1 %",1
Jaén provincia,5.7,"- 0,1 %","- 0,7 %","+ 8,0 %","5,8 €/m2 abr 2023","- 0,7 %",1
Jaén,7.0,"- 0,6 %","- 3,4 %","+ 11,0 %","7,2 €/m2 abr 2023","- 3,4 %",1
Málaga provincia,13.7,"+ 2,0 %","+ 6,7 %","+ 20,2 %","13,7 €/m2 jul 2023","0,0 %",1
