,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),"Tiempo medio 
de viaje a Madrid 
en coche",Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),"Tiempo medio 
de viaje a Barcelona 
en coche",Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,"Número de
conexiones del
aeropuerto internacional
más cercano",Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,% días calidad del aire Buena,% días calidad del aire Razonablemente Buena,% días calidad del aire Regular,% días calidad del aire Desfavorable,% días calidad del aire Muy Desfavorable,% días calidad del aire Extremadamente Desfavorable,Ponderación calidad del aire,"Horas de Sol medias
anuales"
0,A Coruña,A Coruña,Galicia,244700,20.4,9.1,593,05:37:00,4 h 32 min,1084,11 h,12 h,A Coruña,9,11.6,24,7,2300,Sí,20,73,4,3,0,0,410,2453
1,Albacete,Albacete,Castilla-La Mancha,172357,24.4,7.1,260,02:34:00,1 h 37 min,545,5 h 22 min,5 h 25 min,"Alacant-Elx 
Miguel Hernández",119,169.0,33,0,1417,No,3,72,16,9,0,0,369,3282
2,Alcalá de Guadaíra,Sevilla,Andalucía,75917,N/D,6.6,531,05:09:00,3 h 29 min,995,9 h 50 min,12 h ,Sevilla,70,21.1,35,5,N/D,No,14,72,11,3,0,0,397,3526
3,Alcalá de Henares,Madrid,Madrid,196888,28,9.9,40,00:39:00,42 min,586,5 h 30 min,3 h 20 min,"Adolfo Suárez 
Madrid-Barajas",174,21.0,33,1,N/D,Sí,17,68,11,3,0,0,396,2691
4,Alcobendas,Madrid,Madrid,117041,53.8,12,24,00:25:00,22 min,613,5 h 47 min,3 h 49 min,"Adolfo Suárez 
Madrid-Barajas",174,9.1,33,0,N/D,No,22,67,8,3,0,0,408,2691
5,Alcorcón,Madrid,Madrid,170296,17.6,10.8,15,00:34:00,20 min,631,6 h 3 min,3 h 9 min,"Adolfo Suárez 
Madrid-Barajas",174,29.5,33,0,N/D,No,12,76,10,2,0,0,398,2691
6,Algeciras,Cádiz,Andalucía,122368,N/D,7.1,662,06:20:00,5 h 40 min,1106,11 h ,14 h,Jerez,16,107.0,28,11,N/D,No,13,80,4,2,0,0,401,3316
7,Alicante,Alicante,Comunidad Valenciana,338577,39.3,9.4,427,04:02:00,2 h 25 min,525,5 h 18 min,8 h,"Alacant-Elx 
Miguel Hernández",119,11.1,31,7,1705,No,32,62,5,0,0,0,423,3397
8,Almería,Almería,Andalucía,199237,40.2,7.6,551,05:15:00,10 h 5 min,803,7 h 55 min,12 h,Almería,19,8.6,30,8,1302,No,5,81,10,4,0,0,387,3305
9,Arona,Santa Cruz de Tenerife,Santa Cruz de Tenerife,82982,N/D,13.7,2029,1900-01-01 18:00:00,N/D,2504,46 h,N/D,Tenerife Sur,102,18.9,25,13,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3098
10,Avilés,Asturias,Asturias,75877,9.9,6.8,481,04:41:00,5 h,893,8 h 49 min,13 h,Asturias,24,14.5,22,7,N/D,No,6,84,7,4,0,0,395,1962
11,Badajoz,Badajoz,Extremadura,150146,N/D,6.7,404,03:44:00,4 h 28 min,1021,9 h 53 min,16 h,Sevilla,70,217.0,35,3,1374,No,33,59,6,2,0,0,423,3224
12,Badalona,Barcelona,Cataluña,223506,0.9,12.8,633,06:21:00,3 h 2 min,10,23 min,21 min,"Josep Tarradellas
Barcelona-El Prat",170,24.7,29,5,N/D,No,33,63,4,0,0,0,429,2453
13,Barakaldo,Bizkaia,País Vasco,100535,16,11.3,408,04:03:00,4 h 54 min,612,5 h 51 min,9 h 40 min,Bilbao,46,16.0,24,6,N/D,No,44,43,7,5,0,0,423,1694
14,Barcelona,Barcelona,Cataluña,1636193,14.1,18.4,623,06:15:00,2 h 45 min,0,0,0,"Josep Tarradellas
Barcelona-El Prat",170,12.6,28,5,4063,Sí,31,67,2,0,0,0,429,2453
15,Bilbao,Bizkaia,País Vasco,344127,9.8,13.3,401,03:59:00,4 h 28 min,605,5 h 44 min,10 h 10 min,Bilbao,46,12.1,24,5,3174,No,55,36,5,4,0,0,442,1694
16,Burgos,Burgos,Castilla y León,173483,34.6,7.9,248,02:37:00,2 h 24 min,602,5 h 46 min,4 h 48 min,Vitoria,3,122.0,27,-1,1642,Sí,80,17,2,1,0,0,476,2751
17,Cáceres,Cáceres,Extremadura,95456,53.4,6.3,297,02:50:00,3 h 3 min,914,8 h 51 min,11 h 29 min,Sevilla,70,269.0,34,1,1220,Sí,23,63,11,3,0,0,406,3365
18,Cádiz,Cádiz,Andalucía,113066,N/D,10.5,647,05:59:00,4 h 32 min,1109,10 h 49 min,12 h ,Jerez,16,42.3,29,8,2548,No,10,77,10,3,0,0,394,3316
