Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,IDComunidadAutonoma
España,1996.0,"+ 0,3 %","+ 1,7 %","+ 7,2 %",2.115 €/m2 jun 2007,"- 5,6 %",0
Andalucía,2029.0,"+ 0,2 %","+ 1,9 %","+ 9,0 %",2.029 €/m2 jul 2023,"0,0 %",1
Almería provincia,1182.0,"+ 0,9 %","+ 1,8 %","+ 5,2 %",1.868 €/m2 jul 2006,"- 36,7 %",1
Almería,1361.0,"+ 3,3 %","+ 3,6 %","+ 10,8 %",2.257 €/m2 sep 2008,"- 39,7 %",1
Cádiz provincia,1749.0,"+ 0,2 %","+ 1,7 %","+ 9,7 %",2.272 €/m2 abr 2007,"- 23,0 %",1
Cádiz,2609.0,"+ 0,5 %","+ 0,8 %","+ 6,1 %",2.674 €/m2 mar 2009,"- 2,4 %",1
Córdoba provincia,1212.0,"0,0 %","+ 0,3 %","+ 1,7 %",1.801 €/m2 nov 2007,"- 32,7 %",1
Córdoba,1452.0,"- 0,1 %","+ 0,5 %","+ 1,0 %",2.178 €/m2 dic 2007,"- 33,4 %",1
Granada provincia,1341.0,"+ 0,2 %","+ 0,3 %","+ 2,7 %",1.782 €/m2 mayo 2007,"- 24,7 %",1
Granada,1935.0,"+ 0,4 %","+ 0,4 %","+ 4,1 %",2.213 €/m2 mayo 2008,"- 12,6 %",1
Huelva provincia,1359.0,"- 0,6 %","+ 0,3 %","+ 6,6 %",1.919 €/m2 sep 2007,"- 29,2 %",1
Huelva,1228.0,"+ 1,1 %","- 1,5 %","+ 10,7 %",1.678 €/m2 mayo 2008,"- 26,8 %",1
Jaén provincia,816.0,"- 1,1 %","- 0,7 %","- 1,6 %",1.320 €/m2 sep 2007,"- 38,2 %",1
Jaén,1099.0,"- 1,6 %","+ 0,2 %","- 0,8 %",1.672 €/m2 oct 2008,"- 34,3 %",1
Málaga provincia,2964.0,"+ 0,5 %","+ 2,6 %","+ 11,8 %",2.964 €/m2 jul 2023,"0,0 %",1
Málaga,2570.0,"+ 2,2 %","+ 6,4 %","+ 14,5 %",2.570 €/m2 jul 2023,"0,0 %",1
Sevilla provincia,1523.0,"+ 1,3 %","+ 2,2 %","+ 5,8 %",1.970 €/m2 mar 2008,"- 22,7 %",1
Sevilla,2188.0,"+ 0,4 %","+ 1,9 %","+ 6,1 %",2.646 €/m2 sep 2007,"- 17,3 %",1
Aragón,1392.0,"+ 0,6 %","+ 2,3 %","+ 5,6 %",2.008 €/m2 mar 2007,"- 30,7 %",2
Huesca provincia,1408.0,"- 0,5 %","+ 0,4 %","+ 4,1 %",2.246 €/m2 ago 2007,"- 37,3 %",2
Huesca,1637.0,"+ 4,8 %","+ 7,7 %","+ 8,6 %",1.738 €/m2 mar 2011,"- 5,8 %",2
Teruel provincia,901.0,"- 1,2 %","+ 1,9 %","+ 2,0 %",1.118 €/m2 jun 2008,"- 19,4 %",2
Teruel,1257.0,"- 1,3 %","+ 0,4 %","+ 9,1 %",1.660 €/m2 nov 2010,"- 24,3 %",2
Zaragoza provincia,1443.0,"+ 0,9 %","+ 2,7 %","+ 6,0 %",2.135 €/m2 mayo 2007,"- 32,4 %",2
Zaragoza,1761.0,"+ 0,5 %","+ 2,2 %","+ 4,9 %",2.787 €/m2 dic 2007,"- 36,8 %",2
Asturias,1361.0,"+ 0,6 %","+ 1,3 %","+ 1,9 %",1.867 €/m2 abr 2008,"- 27,1 %",15
Asturias,1361.0,"+ 0,6 %","+ 1,3 %","+ 1,9 %",1.867 €/m2 abr 2008,"- 27,1 %",15
Oviedo,1635.0,"+ 0,2 %","+ 0,4 %","+ 3,7 %",2.179 €/m2 ene 2009,"- 25,0 %",15
Baleares,3973.0,"+ 0,5 %","+ 4,3 %","+ 13,9 %",3.973 €/m2 jul 2023,"0,0 %",3
Baleares,3973.0,"+ 0,5 %","+ 4,3 %","+ 13,9 %",3.973 €/m2 jul 2023,"0,0 %",3
Palma de Mallorca,3827.0,"+ 1,1 %","+ 6,3 %","+ 14,4 %",3.827 €/m2 jul 2023,"0,0 %",3
Canarias,2264.0,"+ 0,8 %","+ 2,8 %","+ 11,5 %",2.264 €/m2 jul 2023,"0,0 %",4
Las Palmas,2175.0,"+ 0,1 %","+ 1,9 %","+ 8,8 %",2.257 €/m2 mayo 2007,"- 3,7 %",4
Las Palmas de Gran Canaria,2137.0,"+ 0,5 %","0,0 %","+ 1,7 %",2.137 €/m2 abr 2023,"0,0 %",4
Santa Cruz de Tenerife provincia,2340.0,"+ 1,4 %","+ 3,6 %","+ 14,1 %",2.340 €/m2 jul 2023,"0,0 %",4
Santa Cruz de Tenerife,1811.0,"+ 2,3 %","+ 3,1 %","+ 14,4 %",1.822 €/m2 jul 2008,"- 0,6 %",4
Cantabria,1533.0,"- 0,3 %","+ 1,0 %","+ 3,9 %",2.010 €/m2 feb 2008,"- 23,7 %",5
Cantabria,1533.0,"- 0,3 %","+ 1,0 %","+ 3,9 %",2.010 €/m2 feb 2008,"- 23,7 %",5
Santander,2032.0,"- 0,3 %","+ 1,3 %","+ 6,2 %",2.693 €/m2 jun 2009,"- 24,5 %",5
Castilla y León,1157.0,"+ 0,1 %","- 0,1 %","+ 2,1 %",1.481 €/m2 jun 2011,"- 21,9 %",7
Ávila provincia,882.0,"+ 1,3 %","+ 2,0 %","+ 5,5 %",1.266 €/m2 mar 2008,"- 30,4 %",7
Ávila,1240.0,"+ 2,8 %","+ 6,1 %","+ 16,4 %",1.744 €/m2 jul 2008,"- 28,9 %",7
Burgos provincia,1203.0,"- 0,1 %","+ 1,5 %","+ 3,7 %",1.655 €/m2 sep 2011,"- 27,3 %",7
Burgos,1681.0,"+ 0,8 %","+ 1,7 %","+ 5,3 %",2.176 €/m2 nov 2008,"- 22,8 %",7
León provincia,981.0,"+ 0,2 %","- 0,4 %","- 0,2 %",1.351 €/m2 jun 2011,"- 27,4 %",7
León,1340.0,"+ 0,8 %","+ 1,9 %","+ 1,6 %",1.898 €/m2 feb 2011,"- 29,4 %",7
Palencia provincia,1088.0,"- 0,6 %","- 1,3 %","- 0,6 %",1.335 €/m2 feb 2012,"- 18,5 %",7
Palencia,1282.0,"- 0,6 %","- 0,1 %","0,0 %",1.724 €/m2 ene 2009,"- 25,6 %",7
Salamanca provincia,1323.0,"+ 0,2 %","- 1,0 %","+ 2,6 %",1.719 €/m2 mar 2011,"- 23,0 %",7
Salamanca,1752.0,"- 0,2 %","- 0,2 %","+ 4,7 %",2.480 €/m2 mar 2008,"- 29,4 %",7
Segovia provincia,1211.0,"- 0,3 %","- 2,0 %","+ 4,3 %",1.601 €/m2 sep 2007,"- 24,4 %",7
Segovia,1718.0,"+ 0,3 %","+ 1,1 %","+ 6,4 %",2.252 €/m2 mar 2009,"- 23,7 %",7
Soria provincia,1081.0,"+ 0,5 %","+ 1,1 %","+ 5,5 %",1.372 €/m2 nov 2010,"- 21,2 %",7
Soria,1509.0,"+ 0,2 %","+ 4,8 %","+ 11,5 %",1.913 €/m2 nov 2010,"- 21,1 %",7
Valladolid provincia,1344.0,"+ 0,2 %","+ 0,8 %","+ 1,0 %",1.776 €/m2 oct 2007,"- 24,3 %",7
Valladolid,1591.0,"0,0 %","+ 0,5 %","+ 1,2 %",2.117 €/m2 oct 2007,"- 24,8 %",7
Zamora provincia,947.0,"- 1,1 %","- 2,3 %","- 0,8 %",1.368 €/m2 mar 2011,"- 30,7 %",7
Zamora,1112.0,"- 0,2 %","- 1,6 %","- 1,0 %",1.607 €/m2 mar 2011,"- 30,8 %",7
Castilla-La Mancha,902.0,"+ 0,1 %","+ 0,7 %","+ 1,0 %",1.424 €/m2 mayo 2007,"- 36,7 %",6
Albacete provincia,1079.0,"+ 0,3 %","+ 0,4 %","+ 0,5 %",1.570 €/m2 abr 2008,"- 31,3 %",6
Albacete,1449.0,"+ 0,6 %","+ 2,0 %","+ 4,2 %",1.852 €/m2 jun 2008,"- 21,8 %",6
Ciudad Real provincia,752.0,"+ 0,3 %","0,0 %","- 0,9 %",1.391 €/m2 jun 2007,"- 45,9 %",6
Ciudad Real,1193.0,"+ 0,9 %","+ 1,4 %","+ 4,1 %",1.877 €/m2 abr 2008,"- 36,5 %",6
Cuenca provincia,788.0,"+ 0,3 %","+ 1,7 %","+ 0,1 %",1.109 €/m2 ago 2008,"- 28,9 %",6
Cuenca,1267.0,"+ 0,6 %","+ 1,8 %","+ 14,0 %",1.674 €/m2 mar 2010,"- 24,3 %",6
Guadalajara provincia,1200.0,"+ 0,2 %","+ 1,4 %","+ 5,1 %",1.661 €/m2 jun 2007,"- 27,8 %",6
Guadalajara,1573.0,"+ 0,6 %","+ 3,4 %","+ 6,1 %",2.137 €/m2 mayo 2008,"- 26,4 %",6
Toledo provincia,848.0,"- 0,1 %","+ 0,2 %","- 0,3 %",1.465 €/m2 nov 2006,"- 42,1 %",6
Toledo,1475.0,"+ 1,1 %","+ 3,5 %","+ 2,5 %",2.067 €/m2 mayo 2008,"- 28,6 %",6
Cataluña,2353.0,"- 0,4 %","+ 0,5 %","+ 2,1 %",2.677 €/m2 jun 2007,"- 12,1 %",8
Barcelona provincia,2687.0,"- 0,3 %","0,0 %","0,0 %",2.883 €/m2 jun 2007,"- 6,8 %",8
Barcelona,4135.0,"+ 0,1 %","+ 1,3 %","+ 2,6 %",4.310 €/m2 jun 2007,"- 4,0 %",8
Girona provincia,2238.0,"- 0,5 %","+ 0,9 %","+ 4,6 %",2.522 €/m2 jun 2007,"- 11,2 %",8
Girona,2350.0,"+ 0,5 %","+ 2,5 %","+ 3,8 %",2.623 €/m2 ago 2008,"- 10,4 %",8
Lleida provincia,1283.0,"- 1,8 %","+ 1,2 %","+ 2,4 %",2.076 €/m2 ago 2007,"- 38,2 %",8
Lleida,1157.0,"- 1,0 %","+ 2,0 %","+ 5,6 %",1.742 €/m2 abr 2009,"- 33,6 %",8
Tarragona provincia,1484.0,"- 1,1 %","+ 0,8 %","+ 3,9 %",2.120 €/m2 oct 2006,"- 30,0 %",8
Tarragona,1838.0,"- 0,7 %","+ 0,6 %","+ 2,6 %",2.550 €/m2 oct 2008,"- 27,9 %",8
Ceuta,2162.0,"+ 0,5 %","- 1,0 %","+ 16,8 %",2.248 €/m2 ene 2021,"- 3,8 %",18
Ceuta provincia,2162.0,"+ 0,5 %","- 1,0 %","+ 16,8 %",2.248 €/m2 ene 2021,"- 3,8 %",18
Comunitat Valenciana,1727.0,"+ 0,2 %","+ 2,6 %","+ 10,5 %",1.998 €/m2 feb 2006,"- 13,6 %",18
Alicante/Alacant,2000.0,"+ 0,4 %","+ 3,4 %","+ 11,6 %",2.184 €/m2 feb 2006,"- 8,4 %",11
Alicante / Alacant,1796.0,"+ 0,4 %","+ 2,2 %","+ 15,8 %",1.867 €/m2 mayo 2007,"- 3,8 %",11
Castellón/Castelló,1177.0,"- 0,2 %","0,0 %","+ 3,8 %",1.953 €/m2 jul 2007,"- 39,7 %",11
Castellón de la Plana / Castello de la Plana,1198.0,"- 1,0 %","- 1,5 %","- 0,6 %",1.831 €/m2 ene 2008,"- 34,6 %",11
Valencia/Valéncia,1362.0,"+ 0,4 %","+ 2,1 %","+ 8,0 %",1.943 €/m2 oct 2006,"- 29,9 %",11
València,2247.0,"+ 0,9 %","+ 4,4 %","+ 13,0 %",2.388 €/m2 feb 2008,"- 5,9 %",11
Euskadi,2821.0,"+ 0,3 %","+ 0,3 %","+ 3,7 %",3.255 €/m2 abr 2011,"- 13,3 %",11
Álava,2267.0,"- 0,7 %","- 0,6 %","+ 2,3 %",2.490 €/m2 ene 2011,"- 9,0 %",14
Vitoria-Gasteiz,2541.0,"- 0,3 %","+ 0,1 %","+ 2,7 %",2.975 €/m2 oct 2008,"- 14,6 %",14
Guipúzcoa,3422.0,"+ 0,8 %","+ 0,5 %","+ 4,2 %",3.507 €/m2 mayo 2011,"- 2,4 %",14
Donostia-San Sebastián,5226.0,"+ 0,7 %","+ 1,0 %","+ 2,7 %",5.226 €/m2 jul 2023,"0,0 %",14
Vizcaya,2732.0,"+ 0,1 %","+ 0,1 %","+ 2,9 %",3.360 €/m2 abr 2011,"- 18,7 %",14
Bilbao,3153.0,"- 0,6 %","- 0,9 %","+ 2,7 %",3.591 €/m2 mayo 2011,"- 12,2 %",14
